"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"1","berabera","chatty","Japanese","Sound","spraakzaam","ingetogen","Collabra","berabera",1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.827586206896552,0.944669591394477,0.691484941533503,1
"2","betabeta","clinging","Japanese","Texture","plakkerig","glibberig","Collabra","betabeta",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,NA,"depends on construal",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758620689655172,0.701872595421959,0.204884427121035,0
"3","boroboro","worn out","Japanese","Other","versleten","gloednieuw","Collabra","boroboro",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724137931034483,0.595178533333279,-0.0384158300851923,0
"4","bukubuku","fat","Japanese","Shape","mollig","slank","Collabra","bukubuku",1,0,0,0,2,1,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.862068965517241,1.08966198194611,0.934785198739729,1
"5","buruburu","shivering","Japanese","Motion","rillend","zwetend","Collabra","buruburu",1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.793103448275862,0.8172368220294,0.448184684327268,1
"6","chikuchiku","sharp pain","Japanese","Other","stekend","kloppend","Collabra","chikuchiku",1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,NA,"hard to decide",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689655172413793,0.494873163568623,-0.281716087291426,0
"7","chirachira","flickering","Japanese","ColorVisual","flikkerend","schijnend","Collabra","chirachira",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,1,0,2,1,2,1,1,2,0.758620689655172,0.701872595421959,0.204884427121035,2
"8","debudebu","fat","Japanese","Shape","dik","dun","Collabra","debudebu",1,0,0,0,1,2,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.827586206896552,0.944669591394477,0.691484941533503,1
"9","dorodoro","muddy","Japanese","Other","vies","schoon","Collabra","dorodoro",1,0,0,0,2,2,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.655172413793103,0.39932306734955,-0.52501634449766,1
"10","gbììm","thud","Ewe","Sound","boem",NA,"Language","Ewe_1_Sound_org",0,1,0,1,0,2,0,1,1,0,0,2,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,1,0,0,1,1,1,1,4,1,1,3,0.7,0.524400512708041,0.70980507924032,3
