"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"1","bɔyibɔyi","soft+stretchy (e.g. chewing gum or a stretch of skin)","Ewe","Texture","zacht en rekbaar",NA,"Language","Ewe_10_Texture",0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,3.1,0.203404927315368
"2","wudɔwudɔ","soft+flubby","Ewe","Texture","flubberig",NA,"Language","Ewe_11_Texture",2,1,0,0,0,2,2,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,3.33333333333333,0.488876546289916
"3","dzekedzeke","fluffy+furry+","Ewe","Texture","donzig, pluizig",NA,"Language","Ewe_12_Texture",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,"F_voice: dz- (en kp-, gb-, ts-) als 1 voiced consonant",NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,2.15555555555556,-0.952075435200661
"4","ƒlatsaƒlatsa","rough, fine grain, like sandpaper","Ewe","Texture","korrelig oppervlak",NA,"Language","Ewe_13_Texture",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,2.745,-0.23091975012448
"5","klitsaklitsa","rough, coarse grain, like a rocky surface","Ewe","Texture","ruw oppervlak",NA,"Language","Ewe_14_Texture",0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,2.71,-0.273740492970663
"6","kpraɖii","hard, not necessarily rough","Ewe","Texture","hard oppervlak",NA,"Language","Ewe_15_Texture",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,-0.125661346855074,-0.714055409056131,2.02777777777778,-1.10840513130577
"7","tsinitsini","smooth","Ewe","Texture","glad oppervlak",NA,"Language","Ewe_16_Texture",0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,2.18947368421053,-0.910578307630424
"8","takataka","walk without care, meandering a bit, scattered walk — “taking strides takataka”","Ewe","Motion","struinen",NA,"Language","Ewe_17_Motion",1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.3,-0.524400512708041,-1.568371702034,2.33333333333333,-0.734573249315289
"9","ka ka ka","to walk straight in clear steps","Ewe","Motion","doelgericht lopen",NA,"Language","Ewe_18_Motion",1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.7,0.524400512708041,0.70980507924032,4.09444444444444,1.42005777961166
"10","lúmɔlúmɔ","the hurried running of small animals","Ewe","Motion","snel trippelen",NA,"Language","Ewe_19_Motion",2,1,0,0,0,2,2,0,2,0,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,2,0.55,0.125661346855074,-0.14451121373755,2.9,-0.0412850318056737
"11","gbììm","thud","Ewe","Sound","boem",NA,"Language","Ewe_1_Sound",4,0,1,0,1,0,2,0,1,1,0,0,2,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,3,0.7,0.524400512708041,0.70980507924032,4.03333333333333,1.34529140321356
