"rater","rating","language","category","list","study","filename","ideophone"
"N003",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N005",3,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N010",3.9,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N012",4,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N017",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N021",3.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N023",4.2,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N029",4.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N031",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N041",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N048",2.7,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N051",2.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N055",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N058",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N061",2,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N064",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N068",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N072",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N003",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N005",4,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N010",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N012",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N017",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N021",2.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N023",3.5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N029",3.5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N031",4.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N041",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N048",4.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N051",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N055",4.1,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N058",3.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N061",4.8,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N064",1,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N068",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N072",4.4,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N003",1,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N005",3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N010",3.5,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N012",2.1,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N017",4,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N021",4.3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
