item	filename	 rating 	category	list	language	study
Coll_berabera_D	berabera	 3.28 	Sound	D	Japanese	Collabra
Coll_betabeta_texture_A	betabeta	 3.05 	Texture	A	Japanese	Collabra
Coll_boroboro_D	boroboro	 2.27 	Other	D	Japanese	Collabra
Coll_bukubuku_D	bukubuku	 2.85 	Shape	D	Japanese	Collabra
Coll_buruburu_B	buruburu	 4.19 	Motion	B	Japanese	Collabra
Coll_chikuchiku_other_A	chikuchiku	 3.79 	Other	A	Japanese	Collabra
Coll_chirachira_B	chirachira	 2.93 	ColorVisual	B	Japanese	Collabra
Coll_debudebu_shape_A	debudebu	 2.79 	Shape	A	Japanese	Collabra
Coll_dorodoro_B	dorodoro	 2.31 	Other	B	Japanese	Collabra
Coll_furafura_B	furafura	 2.54 	Other	B	Japanese	Collabra
Coll_fuwafuwa_B	fuwafuwa	 2.84 	Texture	B	Japanese	Collabra
Coll_gayagaya_sound_A	gayagaya	 2.47 	Sound	A	Japanese	Collabra
Coll_gochagocha_C	gochagocha	 2.84 	Other	C	Japanese	Collabra
Coll_gokugoku_B	gokugoku	 4.57 	Sound	B	Japanese	Collabra
Coll_gowagowa_C	gowagowa	 1.72 	Texture	C	Japanese	Collabra
Coll_harahara_other_A	harahara	 3.43 	Other	A	Japanese	Collabra
Coll_hetoheto_C	hetoheto	 2.99 	Other	C	Japanese	Collabra
Coll_hikuhiku_D	hikuhiku	 2.22 	Motion	D	Japanese	Collabra
Coll_hisohiso_C	hisohiso	 3.71 	Sound	C	Japanese	Collabra
Coll_hiyahiya_D	hiyahiya	 2.57 	Other	D	Japanese	Collabra
Coll_hokahoka_C	hokahoka	 1.72 	Other	C	Japanese	Collabra
Coll_kachikachi_C	kachikachi	 3.23 	Other	C	Japanese	Collabra
Coll_kebakeba_D	kebakeba	 2.41 	Other	D	Japanese	Collabra
Coll_kechikechi_D	kechikechi	 2.99 	Other	D	Japanese	Collabra
Coll_kibikibi_B	kibikibi	 3.39 	Motion	B	Japanese	Collabra
Coll_kirakira_C	kirakira	 3.24 	ColorVisual	C	Japanese	Collabra
Coll_korokoro_motion_A	korokoro	 3.22 	Motion	A	Japanese	Collabra
Coll_mojimoji_C	mojimoji	 3.71 	Other	C	Japanese	Collabra
Coll_morimori_B	morimori	 2.02 	Shape	B	Japanese	Collabra
Coll_mushimushi_D	mushimushi	 4.17 	Texture	D	Japanese	Collabra
Coll_nikoniko_B	nikoniko	 2.24 	Other	B	Japanese	Collabra
Coll_sekaseka_C	sekaseka	 3.63 	Motion	C	Japanese	Collabra
Coll_tsuyatsuya_B	tsuyatsuya	 2.55 	Other	B	Japanese	Collabra
Coll_ujauja_D	ujauja	 3.04 	ColorVisual	D	Japanese	Collabra
Coll_ukiuki_other_A	ukiuki	 4.00 	Other	A	Japanese	Collabra
Coll_yoroyoro_other_A	yoroyoro	 3.11 	Other	A	Japanese	Collabra
Coll_yurayura_motion_A	yurayura	 3.25 	Motion	A	Japanese	Collabra
Coll_zukezuke_C	zukezuke	 2.69 	Shape	C	Japanese	Collabra
Ewe_1_sound_A	Ewe_1_Sound_org	 4.03 	Sound	A	Ewe	Language
Ewe_10_texture_B	Ewe_10_Texture_org	 3.10 	Texture	B	Ewe	Language
Ewe_11_texture_A	Ewe_11_Texture_org	 3.33 	Texture	A	Ewe	Language
Ewe_12_texture_C	Ewe_12_Texture_org	 2.16 	Texture	C	Ewe	Language
Ewe_13_texture_D	Ewe_13_Texture_org	 2.75 	Texture	D	Ewe	Language
Ewe_14_texture_D	Ewe_14_Texture_org	 2.71 	Texture	D	Ewe	Language
Ewe_15_texture_C	Ewe_15_Texture_org	 2.03 	Texture	C	Ewe	Language
Ewe_16_texture_B	Ewe_16_Texture_org	 2.19 	Texture	B	Ewe	Language
Ewe_17_motion_A	Ewe_17_Motion_org	 2.33 	Motion	A	Ewe	Language
Ewe_18_motion_A	Ewe_18_Motion_org	 4.09 	Motion	A	Ewe	Language
Ewe_19_motion_A	Ewe_19_Motion_org	 2.90 	Motion	A	Ewe	Language
Ewe_2_sound_A	Ewe_2_Sound_org	 4.09 	Sound	A	Ewe	Language
Ewe_20_motion_B	Ewe_20_Motion_org	 3.44 	Motion	B	Ewe	Language
Ewe_21_motion_B	Ewe_21_Motion_org	 2.49 	Motion	B	Ewe	Language
Ewe_22_motion_B	Ewe_22_Motion_org	 3.27 	Motion	B	Ewe	Language
Ewe_23_motion_C	Ewe_23_Motion_org	 3.57 	Motion	C	Ewe	Language
Ewe_24_motion_C	Ewe_24_Motion_org	 2.62 	Motion	C	Ewe	Language
Ewe_25_motion_C	Ewe_25_Motion_org	 3.66 	Motion	C	Ewe	Language
Ewe_26_motion_D	Ewe_26_Motion_org	 2.42 	Motion	D	Ewe	Language
Ewe_27_motion_D	Ewe_27_Motion_org	 3.09 	Motion	D	Ewe	Language
Ewe_28_shape_A	Ewe_28_Shape_org	 3.44 	Shape	A	Ewe	Language
Ewe_29_shape_A	Ewe_29_Shape_org	 3.71 	Shape	A	Ewe	Language
Ewe_3_sound_B	Ewe_3_Sound_org	 3.89 	Sound	B	Ewe	Language
Ewe_30_shape_B	Ewe_30_Shape_org	 3.92 	Shape	B	Ewe	Language
Ewe_31_shape_B	Ewe_31_Shape_org	 3.46 	Shape	B	Ewe	Language
Ewe_32_shape_C	Ewe_32_Shape_org	 4.02 	Shape	C	Ewe	Language
Ewe_33_shape_C	Ewe_33_Shape_org	 2.73 	Shape	C	Ewe	Language
Ewe_34_shape_D	Ewe_34_Shape_org	 3.63 	Shape	D	Ewe	Language
Ewe_35_shape_D	Ewe_35_Shape_org	 3.10 	Shape	D	Ewe	Language
Ewe_36_color_A	Ewe_36_ColorVisual_org	 2.38 	ColorVisual	A	Ewe	Language
Ewe_37_color_A	Ewe_37_ColorVisual_org	 3.16 	ColorVisual	A	Ewe	Language
Ewe_38_color_B	Ewe_38_ColorVisual_org	 1.40 	ColorVisual	B	Ewe	Language
Ewe_39_color_B	Ewe_39_ColorVisual_org	 2.02 	ColorVisual	B	Ewe	Language
Ewe_4_sound_B	Ewe_4_Sound_org	 4.33 	Sound	B	Ewe	Language
Ewe_40_color_C	Ewe_40_ColorVisual_org	 1.45 	ColorVisual	C	Ewe	Language
Ewe_41_color_D	Ewe_41_ColorVisual_org	 2.86 	ColorVisual	D	Ewe	Language
Ewe_42_color_D	Ewe_42_ColorVisual_org	 3.46 	ColorVisual	D	Ewe	Language
Ewe_5_sound_C	Ewe_5_Sound_org	 3.21 	Sound	C	Ewe	Language
Ewe_6_sound_C	Ewe_6_Sound_org	 4.60 	Sound	C	Ewe	Language
Ewe_7_sound_D	Ewe_7_Sound_org	 2.78 	Sound	D	Ewe	Language
Ewe_8_sound_D	Ewe_8_Sound_org	 3.63 	Sound	D	Ewe	Language
Ewe_9_texture_A	Ewe_9_Texture_org	 3.14 	Texture	A	Ewe	Language
Japanese_1_sound_A	Japanese_1_Sound_org	 3.13 	Sound	A	Japanese	Language
Japanese_10_sound_D	Japanese_10_Sound_org	 3.80 	Sound	D	Japanese	Language
Japanese_11_sound_D	Japanese_11_Sound_org	 1.87 	Sound	D	Japanese	Language
Japanese_12_texture_A	Japanese_12_Texture_org	 3.41 	Texture	A	Japanese	Language
Japanese_13_texture_A	Japanese_13_Texture_org	 2.42 	Texture	A	Japanese	Language
Japanese_14_texture_B	Japanese_14_Texture_org	 2.45 	Texture	B	Japanese	Language
Japanese_15_texture_B	Japanese_15_Texture_org	 2.16 	Texture	B	Japanese	Language
Japanese_16_texture_B	Japanese_16_Texture_org	 2.01 	Texture	B	Japanese	Language
Japanese_17_texture_C	Japanese_17_Texture_org	 3.87 	Texture	C	Japanese	Language
Japanese_18_texture_C	Japanese_18_Texture_org	 3.51 	Texture	C	Japanese	Language
Japanese_19_texture_D	Japanese_19_Texture_org	 2.51 	Texture	D	Japanese	Language
Japanese_2_sound_A	Japanese_2_Sound_org	 3.99 	Sound	A	Japanese	Language
Japanese_20_texture_D	Japanese_20_Texture_org	 2.50 	Texture	D	Japanese	Language
Japanese_21_texture_D	Japanese_21_Texture_org	 2.74 	Texture	D	Japanese	Language
Japanese_22_motion_D	Japanese_22_Motion_org	 3.05 	Motion	D	Japanese	Language
Japanese_23_motion_C	Japanese_23_Motion_org	 3.38 	Motion	C	Japanese	Language
Japanese_24_motion_D	Japanese_24_Motion_org	 4.18 	Motion	D	Japanese	Language
Japanese_25_motion_A	Japanese_25_Motion_org	 3.17 	Motion	A	Japanese	Language
Japanese_26_motion_B	Japanese_26_Motion_org	 2.44 	Motion	B	Japanese	Language
Japanese_27_motion_A	Japanese_27_Motion_org	 1.64 	Motion	A	Japanese	Language
